,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
149,HK.07552,2021-07-21 00:00:00,7.26,7.34,7.44,7.19,0.0,0.2488,7712700,56578765.0,-0.27173913043478887,7.36
150,HK.07552,2021-07-22 00:00:00,7.16,7.04,7.19,7.03,0.0,0.2302,7136300,50676867.0,-4.087193460490461,7.34
151,HK.07552,2021-07-23 00:00:00,7.05,7.475,7.5,7.035,0.0,0.27432,8503800,62451534.0,6.178977272727267,7.04
152,HK.07552,2021-07-26 00:00:00,7.675,8.445,8.5,7.675,0.0,0.54805,16989400,139448838.0,12.976588628762551,7.475
153,HK.07552,2021-07-27 00:00:00,8.795,9.825,10.05,8.455,0.0,1.56786,48603800,451042481.0,16.34103019538187,8.445
154,HK.07552,2021-07-28 00:00:00,9.46,9.225,9.89,8.97,0.0,1.36138,42202800,400085461.0,-6.10687022900763,9.825
155,HK.07552,2021-07-29 00:00:00,7.955,7.745,8.32,7.69,0.0,1.2743,39503300,314292816.0,-16.04336043360433,9.225
156,HK.07552,2021-07-30 00:00:00,8.03,8.08,8.445,8.025,0.0,1.10401,30691400,251753703.0,4.325371207230471,7.745
157,HK.07552,2021-08-02 00:00:00,8.08,8.075,8.325,7.95,0.0,0.55448,16079900,130197748.0,-0.06188118811882155,8.08
158,HK.07552,2021-08-03 00:00:00,8.05,8.305,8.585,8.015,0.0,0.73723,24033700,199971698.0,2.8482972136222964,8.075
159,HK.07552,2021-08-04 00:00:00,8.305,7.84,8.465,7.64,0.0,0.91485,29824000,235978080.0,-5.599036724864538,8.305
160,HK.07552,2021-08-05 00:00:00,7.955,8.18,8.255,7.725,0.0,0.5797,18898100,151372140.0,4.33673469387755,7.84
161,HK.07552,2021-08-06 00:00:00,8.16,8.205,8.33,8.09,0.0,0.3003,9789900,80145364.0,0.30562347188264494,8.18
162,HK.07552,2021-08-09 00:00:00,8.35,8.305,8.55,8.07,0.0,0.3959,12906400,106774116.0,1.2187690432662968,8.205
