name,code,close,rate,premium,tag,mtexp,fundfirm,listdate,index,avgamount,m1,y0,y1,y3,y5,scale
机器人ETF基金,562360,0.917,10022,9967,主题，新兴产业，机器人,0.60%,银华基金,2021-10-15,机器人指数,678.8,10385,11940,11802,10000,10000,0.725
碳中和100ETF,159642,0.854,10143,9977,主题，环保，新兴产业,0.60%,大成基金,2022-07-21,SEEE碳中和指数,741.46,10071,10479,10000,10000,10000,2.24
沪深300添富ETF,515310,1.14,10044,10000,宽基，大盘股,0.20%,汇添富基金,2019-12-25,沪深300指数,573.89,10215,10556,10035,12179,10000,0.526
300ETF增强,561000,1.035,10029,9990,宽基，大盘股,0.60%,华安基金,2023-01-11,沪深300指数,603.04,10207,10000,10000,10000,10000,8.34
创业板ETF博时,159908,2.19,10069,9991,宽基，中小盘,0.60%,博时基金,2011-07-13,创业板指,622.36,10282,10311,9847,13289,14465,11.0
MSCIA股ETF,512990,1.598,10069,9994,MSCI,0.60%,华夏基金,2015-03-25,MSCI中国A股国际通指数,588.24,10178,10472,10204,13339,14192,3.95
创新药企ETF,560900,1.055,9991,10009,行业，医药,0.40%,上投摩根基金,2022-06-02,CS创新药指数,600.15,10384,10477,10000,10000,10000,2.12
消费服务ETF,516600,0.672,9970,10000,主题，消费服务,0.52%,工银瑞信基金,2021-02-26,消费服务全收益指数,583.6,10075,10500,10370,10000,10000,1.15
物联网ETF招商,159701,0.809,10113,10012,主题，物联网,0.60%,招商基金,2021-12-23,CS物联网指数,560.32,11052,11427,11607,10000,10000,0.42
新材料ETF,159703,0.871,10163,9989,主题，新兴产业，新材料,0.60%,天弘基金,2021-06-08,新材料指数,570.59,9932,10247,9316,10000,10000,0.543
ESG300ETF,159653,1.002,10020,9940,主题，ESG,0.56%,国联安基金,2023-03-24,ESG300指数,594.47,10000,10000,10000,10000,10000,2.33
品牌消费ETF,517880,0.83,9976,9976,跨境，香港，消费,0.60%,华泰柏瑞基金,2021-12-01,SHS品牌消费50人民币指数,599.34,9905,10172,10298,10000,10000,0.485
上海金ETF基金,159831,4.432,10045,9984,商品，黄金,0.60%,嘉实基金,2022-04-07,上海金,589.99,10613,10884,10992,10000,10000,0.137
碳中和ETF,560060,0.845,10156,10000,主题，环保，新兴产业,0.60%,汇添富基金,2022-07-21,SEEE碳中和指数,550.67,10084,10484,10000,10000,10000,4.66
证券ETF基金,159848,0.76,10013,10000,行业，金融，证券,0.55%,国联安基金,2021-03-12,证券公司指数,451.83,10411,10795,9857,10000,10000,0.884
标普500ETF基金,513650,1.024,10069,9942,跨境，美国,0.75%,南方基金,2023-04-04,标准普尔500指数,503.65,10000,10000,10000,10000,10000,4.21
长三角ETF,512650,1.055,10048,9991,主题，区域，长三角,0.20%,汇添富基金,2019-10-25,CS长三角指数,480.76,10456,10967,10333,11259,10000,4.48
科技ETF基金,515860,1.307,10069,9992,主题，新兴产业，科技,0.60%,嘉实基金,2019-10-22,新兴科技100指数,548.0,11238,12158,11039,11445,10000,2.04
科技100ETF,159853,0.945,10075,9979,主题，新兴产业，科技,0.20%,南方基金,2021-10-15,科技100指数,535.29,10714,11917,11372,10000,10000,0.287
生物科技ETF,516500,0.805,10012,10000,主题，新兴产业，生物科技,0.60%,华夏基金,2021-03-17,中证生科指数,518.91,10334,10387,9189,10000,10000,0.861
智能车ETF基金,159795,0.879,10162,10000,主题，智能汽车,0.20%,汇添富基金,2022-02-14,CS智汽车指数,483.26,10988,11704,11911,10000,10000,0.669
新材料50ETF,516710,0.704,10129,10000,主题，新兴产业，新材料,0.60%,华夏基金,2021-08-17,新材料指数,532.14,9958,10233,9227,10000,10000,1.12
电池龙头ETF,159767,0.694,10206,9971,主题，新兴产业，新能源车，电池,0.60%,兴银基金,2021-08-23,新能电池指数,515.64,10146,9679,9192,10000,10000,1.23
云50ETF,560660,1.083,10131,10019,行业，TMT，互联网,0.60%,新华基金,2021-08-25,云计算50指数,488.92,11534,14517,15810,10000,10000,1.33
消费ETF沪港深,517550,0.808,9975,9926,跨境，香港，消费,0.60%,招商基金,2022-02-08,SHS消费龙头人民币指数,456.91,9677,9495,10164,10000,10000,0.505
运输ETF,159683,1.021,9980,9980,主题，运输,0.60%,嘉实基金,2023-01-09,内地运输指数,485.5,10000,10000,10000,10000,10000,4.28
中证500ETF平安,510590,6.622,10053,9985,宽基，中小盘,0.60%,平安基金,2018-05-04,中证500指数,422.72,10321,10965,10859,13729,10000,5.92
深100ETF招商,159975,0.609,10016,9984,宽基，大盘股,0.30%,招商基金,2020-01-02,深证100指数,389.18,10167,10428,10066,13612,10000,0.96
金融地产ETF基金,512640,1.832,10027,9989,行业，金融，房地产,0.60%,嘉实基金,2014-07-25,中证金融指数,375.84,10235,10189,9409,10155,9962,0.769
信息科技ETF,512330,1.086,10140,10000,行业，信息技术,0.60%,南方基金,2015-07-20,500信息指数,350.14,11324,13053,13100,11037,13006,4.45
国企一带一路ETF,515990,1.333,10106,10000,主题，国企，一带一路,0.20%,汇添富基金,2020-01-15,国企带路指数,437.56,10447,11561,10899,14648,10000,0.971
生物科技ETF招商,159849,0.659,10000,10000,主题，新兴产业，生物科技,0.60%,招商基金,2021-03-02,中证生科指数,372.91,10329,10378,9230,10000,10000,0.974
互联网ETF,159729,0.755,9987,9934,主题，新兴产业，互联网,0.20%,汇添富基金,2021-07-21,SHS互联网人民币指数,368.24,11022,11687,12397,10000,10000,1.25
长江保护ETF,517330,0.79,10128,10000,主题，环保,0.20%,易方达基金,2022-01-05,长江保护指数,385.06,10207,10533,9753,10000,10000,16.47
张江ETF,517850,1.066,10300,9972,跨境，香港，科技,0.20%,汇添富基金,2022-05-16,SHS张江50指数,357.18,11612,11978,10000,10000,10000,2.02
医药ETF沪港深,517990,1.065,10038,10000,跨境，香港，医药,0.60%,招商基金,2022-05-19,沪港深500医药人民币指数,371.83,10451,10057,10000,10000,10000,0.317
农牧ETF,159616,0.856,9977,10012,主题，农牧,0.60%,建信基金,2022-08-08,农牧主题指数,419.43,9532,9694,10000,10000,10000,0.889
疫苗ETF基金,159646,0.94,9989,10000,行业，医药，生物科技,0.60%,华泰柏瑞基金,2022-08-22,疫苗生科指数,357.48,10011,9979,10000,10000,10000,0.534
申万上证50ETF,510600,3.26,10031,10003,宽基，大盘股,0.60%,申万菱信基金,2018-09-20,上证50指数,329.25,10037,10112,9529,11176,10000,0.428
MSCIETF,512520,1.205,10025,9992,MSCI,0.20%,华泰柏瑞基金,2018-05-18,MSCI中国A股国际通指数,309.5,10195,10497,10352,13932,10000,5.19
超大盘ETF,510020,2.946,10007,9990,宽基，大盘股,0.60%,博时基金,2010-03-19,超大盘指数,271.35,10072,10226,9659,10344,10939,1.09
中银中证100ETF,515670,1.044,10068,10010,宽基，大盘股,0.54%,中银基金,2020-05-20,中证100指数,331.74,10225,10642,9840,10000,10000,1.39
平安创业板ETF,159964,1.521,10093,10007,宽基，中小盘,0.20%,平安基金,2019-04-19,创业板R指数,253.82,10319,10333,9819,13460,10000,4.07
创业板ETF融通,159808,0.906,10067,9989,宽基，中小盘,0.40%,融通基金,2020-09-04,创业板R指数,340.44,10295,10307,9773,10000,10000,0.804
创新100ETF,515200,1.872,10097,9995,主题，新兴产业，科技,0.60%,申万菱信基金,2019-11-15,创新100指数,295.66,10973,11759,11485,16523,10000,1.96
可持续发展ETF,515090,1.182,10034,10000,主题，ESG,0.60%,博时基金,2020-02-20,持续发展指数,334.68,10103,10469,9777,12642,10000,1.43
上证券商ETF,510200,1.05,10010,9990,行业，金融，证券,0.60%,汇安基金,2020-05-08,上证证券指数,287.26,10406,10802,9924,10000,10000,0.649
医疗产业ETF,159877,0.835,9964,9976,行业，医药，医疗保健,0.60%,南方基金,2021-11-03,医疗保健指数,270.63,10133,10334,10220,10000,10000,0.985
碳中和ETF基金,562300,0.745,10095,10000,主题，低碳,0.60%,银华基金,2022-01-05,内地低碳指数,323.66,9790,9601,9209,10000,10000,1.15
智慧电车ETF,560000,0.739,10179,9986,主题，智能汽车,0.60%,浦银安盛基金,2021-09-30,智能电车指数,329.14,10292,10000,9402,10000,10000,0.503
高端装备ETF,516320,0.905,10078,10000,主题，装备制造,0.60%,华夏基金,2021-06-08,装备产业指数,319.92,9742,10022,9902,10000,10000,0.547
沪港深科技ETF,517360,0.863,10058,9942,主题，新兴产业，科技,0.60%,华安基金,2021-07-05,SHS科技100人民币指数,323.62,10747,12036,12138,10000,10000,0.611
180ESGETF,510990,0.865,10093,10012,主题，ESG,0.55%,工银瑞信基金,2021-07-01,180ESG指数,288.69,10188,10472,9931,10000,10000,0.586
稀有金属ETF基金,561800,0.747,10361,10027,主题，稀有金属,0.60%,华富基金,2021-08-24,CS稀金属指数,347.53,10013,10149,9384,10000,10000,0.935
创科技ETF,159773,0.831,10073,10000,主题，新兴产业，科技,0.60%,华泰柏瑞基金,2021-10-08,创科技指数,343.02,10627,10992,10877,10000,10000,0.643
